            table_name             |          column_name           
 ext_task_log                      | update_by
 ext_task_log                      | remark
 ext_task_log_detail               | content
 ext_task_log_detail               | entity_type
 ext_task_log_detail               | entity_name
 ext_task_log_detail               | create_by
 ext_task_log_detail               | update_by
 ext_task_log_detail               | remark
 conversation                      | title
 conversation                      | create_by
 conversation                      | update_by
 conversation                      | remark
 chat_message                      | role
 chat_message                      | content
 chat_message                      | create_by
 chat_message                      | update_by
 chat_message                      | remark
 semantic_cache_store              | knowledge_ids_hash
 semantic_cache_store              | query
 semantic_cache_store              | answer
 semantic_cache_store              | model_name
 ai_judge_score                    | create_by
 ai_judge_score                    | update_by
 ai_judge_score                    | remark
 workflow                          | name
 workflow                          | description
 workflow                          | create_by
 workflow                          | update_by
 workflow                          | remark
 kmc_segment_entity_metadata       | qm_segment_id
 workflow_node                     | uuid
 workflow_node                     | type
 workflow_node                     | name
 workflow_node                     | create_by
 workflow_node                     | update_by
 workflow_node                     | remark
 workflow_edge                     | source_node_uuid
 workflow_edge                     | target_node_uuid
 workflow_edge                     | condition_expr
 workflow_edge                     | source_handle
 workflow_edge                     | create_by
 workflow_edge                     | update_by
 workflow_edge                     | remark
 workflow_run                      | error_msg
 workflow_run                      | create_by
 workflow_run                      | update_by
 workflow_run                      | remark
 vector_store                      | content
 eval_dataset                      | name
 eval_dataset_item                 | query
 eval_dataset_item                 | expected_answer
 eval_dataset_item                 | ground_truth_contexts
 kmc_temporal_facts                | entity_name
 kmc_temporal_facts                | fact_content
 eval_run                          | run_id
 dag_checkpoints                   | runtime_id
 dag_checkpoints                   | flow_id
 dag_checkpoints                   | completed_results
 eval_run                          | status
 eval_run                          | report_json
 eval_run                          | error_message
 eval_run_item                     | run_id
 eval_run_item                     | query
 eval_run_item                     | answer
 eval_run_item                     | scores_json
 eval_run_item                     | feedback
(844 rows)

